#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-25T16:21:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5baa5fdab92b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=39	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-nav=cat:I/324&cat:I/337&cat:I/345&tab:{I/345/gaia2}&tab:{I/345/rvstdcat}&tab:{I/345/rvstdmes}&tab:{I/345/allwise}&tab:{I/345/iers}&tab:{I/345/cepheid}&tab:{I/345/rrlyrae}&tab:{I/345/lpv}&tab:{I/345/varres}&tab:{I/345/shortts}&tab:{I/345/tsstat}&tab:{I/345/numtrans}&tab:{I/345/transits}&tab:{I/345/rm}&tab:{I/345/rmseg}&tab:{I/345/rmout}&tab:{I/345/ssoobj}&tab:{I/345/ssoorb}&tab:{I/345/ssores}&tab:{I/345/ssoobs}&cat:I/347&cat:VI/137&cat:VI/145&cat:J/A+A/523/A48&cat:V/149&key:source=gaia+dr2&HTTPPRM:&&-ref=VIZ5baa5fdab92b&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c=cg 30
#-c.eq=J2000
#-c.r=  2
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2,I/345/rvstdcat,I/345/rvstdmes,I/345/allwise,I/345/iers,I/345/cepheid,I/345/rrlyrae,I/345/lpv,I/345/varres,I/345/shortts,I/345/tsstat,I/345/numtrans,I/345/transits,I/345/rm,I/345/rmseg,I/345/rmout,I/345/ssoobj,I/345/ssoorb,I/345/ssores,I/345/ssoobs
#-out.orig=standard
#-order=I
#-sort=RA_ICRS
#-out=Plx
#Plx=>2.10 and < 4.04
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Gmag
#-out=e_Gmag
#-out=BPmag
#-out=e_BPmag
#-out=RPmag
#-out=e_RPmag
#-out=RV
#-out=e_RV
#VC=VC
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#Simbad=Simbad
#LC=LC
#astorb=astorb
#
#INFO	CatalogsExamined=20	
#  20 catalogues with potential matches were examined.
#
#INFO	-c=122.386750-36.083450,rd=2.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_r	(F8.6)	Distance from center (122.38675000000-36.08345000000)[ICRS], at Epoch=J2015.5	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	e_BPmag	(F6.4)	? Standard error of BP mean magnitude (Vega) (added by CDS) (phot_bp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	e_RPmag	(F6.4)	? Standard error of RP mean magnitude (Vega) (added by CDS) (phot_rp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
_r	_RAJ2000	_DEJ2000	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	e_Gmag	BPmag	e_BPmag	RPmag	e_RPmag	RV	e_RV
1.959604	119.9617815830680	-36.1052174004247	    2.3465	 0.0436	   -9.939	 0.077	   11.852	 0.075	16.3240	0.0007	17.2347	0.0060	15.3738	0.0021	       	
1.959473	119.9625190209008	-36.0636271707681	    2.8892	 1.7568	   -2.354	 2.454	   -3.100	 2.492	20.8091	0.0122	21.0346	0.2861	19.2308	0.0441	       	
1.962611	119.9647283882754	-36.2534733792266	    3.9425	 0.3960	   -5.008	 0.737	   -2.550	 0.687	10.9571	0.0005	11.1370	0.0009	10.6671	0.0008	   3.04	 3.33
1.961976	119.9668087526814	-35.9491638825787	    3.6196	 0.0154	  -14.269	 0.023	  -10.154	 0.029	13.3934	0.0002	13.9136	0.0016	12.7269	0.0008	       	
1.992999	119.9668294745254	-35.7228637844755	    3.6195	 0.2793	   -1.937	 0.460	   -0.351	 0.513	19.1759	0.0028	21.0467	0.2202	17.8083	0.0175	       	
1.965491	119.9684110381423	-36.3180927714733	    2.1676	 0.6669	   -1.224	 1.128	    0.715	 1.168	20.4188	0.0068	20.8597	0.1520	19.1658	0.0497	       	
1.954187	119.9684559989159	-36.0958283626818	    3.4953	 1.8671	    3.941	 3.795	    5.691	 4.412	20.8746	0.0155	20.7247	0.0359	19.5206	0.1120	       	
1.971736	119.9719467791681	-36.3905247798562	    2.2361	 0.3686	   -1.463	 0.540	    2.441	 0.585	19.5842	0.0041	21.1183	0.1266	18.3622	0.0250	       	
1.971331	119.9730644495563	-36.3942723586097	    2.3374	 0.0709	    8.328	 0.106	   24.391	 0.116	16.9775	0.0009	18.0670	0.0103	15.9408	0.0034	       	
1.950435	119.9732006614076	-36.0906281407849	    3.3810	 0.6650	   -6.263	 1.206	    5.904	 1.217	20.2999	0.0088	21.1060	0.1356	18.7617	0.0360	       	
1.994079	119.9739453667948	-35.6892791902030	    2.9864	 0.7448	    4.204	 1.219	    1.699	 0.966	20.3652	0.0070	21.3096	0.2128	19.0414	0.0460	       	
1.954970	119.9758893741502	-36.2703578850803	    2.1314	 1.4409	   -6.196	 3.194	    6.590	 1.677	20.8067	0.0154	21.3150	0.1795	19.6694	0.1821	       	
1.996198	119.9760026208361	-36.5434361846703	    3.8677	 0.8357	    2.861	 1.249	    1.218	 1.480	20.0347	0.0098	20.5416	0.1383	18.6167	0.0381	       	
1.946797	119.9776538253668	-36.0982461403256	    2.2693	 1.2020	   -8.868	 1.904	    3.770	 2.295	20.7355	0.0105	21.1930	0.1457	19.3426	0.0509	       	
1.979606	119.9777667292805	-35.7478437939598	    3.0970	 1.1898	   -2.521	 1.274	    6.491	 2.875	20.7539	0.0105	21.6749	0.2027	19.3902	0.0882	       	
1.976092	119.9789204598223	-36.4524710748209	    2.8960	 0.6712	  -16.095	 1.001	   19.463	 1.087	13.4902	0.0005	14.2345	0.0012	12.6528	0.0007	       	
1.975101	119.9805847507102	-35.7603209823441	    2.7615	 0.5350	    2.699	 0.777	    3.260	 0.934	19.7405	0.0063	20.7257	0.1310	18.5094	0.0270	       	
1.971496	119.9808106512736	-35.7804610657490	    2.9608	 1.4957	   -0.325	 2.299	    6.387	 2.362	20.8961	0.0129	22.3485	0.1761	19.6030	0.0963	       	
1.944679	119.9827804475816	-36.1971614915727	    2.4506	 0.3788	   -3.468	 0.671	   -1.959	 0.651	19.3533	0.0043	20.4461	0.0758	18.0877	0.0190	       	
1.978935	119.9830007095453	-36.4860408770186	    2.7573	 0.2346	   11.235	 0.349	  -37.217	 0.344	18.7423	0.0021	20.2665	0.0699	17.5646	0.0153	       	
1.946209	119.9842431284693	-36.2436376563060	    2.4263	 1.2575	   -6.900	 2.076	   10.938	 2.346	20.8211	0.0153	21.2090	0.1495	19.4922	0.0817	       	
1.979373	119.9842596847702	-35.7216137837093	    2.8318	 1.3367	   -5.200	 2.177	   -0.598	 2.437	20.7904	0.0114	21.7979	0.3580	19.4711	0.0763	       	
1.985557	119.9854984243551	-35.6858435286622	    2.1123	 0.0221	   16.499	 0.036	  -22.785	 0.040	12.9597	0.0002	13.3094	0.0013	12.4603	0.0012	       	
1.942833	119.9857055872852	-36.0076656884822	    2.7788	 0.0858	  -10.461	 0.134	  -18.571	 0.147	17.1486	0.0010	18.9036	0.0247	15.8607	0.0034	       	
1.976149	119.9866403967611	-36.4863323673146	    2.4203	 0.5817	   -3.731	 0.898	    2.981	 0.828	19.4660	0.0059	20.1328	0.0633	18.3297	0.0244	       	
1.939588	119.9867659187966	-36.1362475638244	    2.2877	 0.7059	    0.187	 1.204	    2.049	 1.271	20.5811	0.0088	21.0154	0.1698	19.4532	0.0433	       	
1.942449	119.9890788320707	-36.2451210877247	    2.1011	 0.0156	  -12.701	 0.026	    9.075	 0.026	13.2045	0.0002	13.5653	0.0011	12.6821	0.0005	       	
1.939951	119.9891361302693	-36.0088280301553	    2.2146	 1.9081	    2.560	 2.571	    4.251	 2.331	20.8754	0.0150	21.5761	0.2563	19.4110	0.0692	       	
1.950206	119.9902382921557	-36.3375331672924	    2.3714	 0.6528	   -1.777	 1.083	    2.901	 1.311	20.4706	0.0078	21.0459	0.1666	19.4202	0.0479	       	
1.939110	119.9907278268299	-36.2137784175441	    2.3312	 0.1852	   -3.268	 0.315	    6.986	 0.320	18.7249	0.0022	20.1880	0.0627	17.4664	0.0108	       	
1.936189	119.9921510723757	-36.0414922072711	    2.6359	 0.5799	  -10.676	 0.991	   12.865	 0.937	20.0535	0.0062	20.8647	0.1617	18.6614	0.0258	       	
1.956514	119.9924449525482	-35.8162964002785	    2.8278	 1.6352	    4.052	 2.382	   -7.278	 2.418	20.9599	0.0154	21.8010	0.4693	19.7755	0.0539	       	
1.934700	119.9939530473544	-36.1724517796898	    2.6511	 0.0540	   -7.548	 0.090	   -8.863	 0.104	16.4381	0.0008	17.5477	0.0097	15.3278	0.0033	       	
1.968191	119.9943774761248	-36.4768996728812	    2.3230	 0.7052	    9.619	 1.014	    7.247	 1.204	20.4864	0.0071	21.0791	0.1439	19.2862	0.0578	       	
1.991509	119.9955594787534	-35.6250227714267	    3.1330	 0.6695	   -3.030	 1.068	   -6.427	 1.075	20.4272	0.0072	21.3177	0.2246	19.0045	0.0546	       	
1.978584	119.9958976633749	-36.5341698135156	    2.8670	 0.0229	   -4.769	 0.033	   35.217	 0.038	14.0890	0.0002	14.6577	0.0015	13.3915	0.0009	       	
1.950167	119.9970098334231	-35.8351387694239	    2.4965	 0.9901	   -0.752	 1.381	    7.680	 1.861	20.7455	0.0113	21.3213	0.1594	19.3787	0.0451	       	
1.929465	120.0000784092764	-36.1630523474621	    2.5470	 0.5420	   -8.379	 0.959	    1.918	 0.966	20.1996	0.0057	21.9155	0.1156	18.8823	0.0347	       	
1.942207	120.0000716051809	-35.8779089064304	    3.2908	 0.9280	   -2.657	 1.324	    6.474	 3.036	20.7688	0.0098	21.3322	0.1867	19.4197	0.0615	       	
1.931599	120.0006281392466	-35.9924683416770	    3.1116	 1.6301	   -4.138	 1.754	   10.670	 4.438	20.8775	0.0144	20.8929	0.2683	19.2181	0.0945	       	
1.928866	120.0008897603261	-36.0481599489080	    2.9099	 1.8123	   -0.414	 3.737	    3.271	 2.904	20.9635	0.0178	21.0261	0.2313	19.4176	0.0636	       	
1.942220	120.0018849943741	-36.3483994031971	    2.5906	 0.7470	   -4.582	 1.166	    5.251	 1.481	20.5167	0.0086	21.3137	0.1362	19.5447	0.0662	       	
1.969718	120.0030007005457	-35.6954921206850	    3.7398	 0.0255	   -3.367	 0.041	  -18.204	 0.049	12.3549	0.0002	12.7761	0.0013	11.7965	0.0005	  -2.02	 1.00
1.930398	120.0043256535208	-36.2490558556008	    3.0493	 1.3154	    4.396	 1.813	    1.151	 2.036	20.6221	0.0206	21.4121	0.2553	19.3324	0.0879	       	
1.926173	120.0050218378305	-36.1844714334477	    2.1686	 1.3340	    2.006	 2.319	    3.945	 2.480	20.9289	0.0129	20.6350	0.5007	19.6928	0.2101	       	
1.956298	120.0064878044333	-36.4640629427363	    2.4081	 1.0292	   -1.637	 1.337	   -0.054	 1.706	20.7412	0.0098	21.4578	0.2643	19.8256	0.0862	       	
1.931723	120.0068936762922	-35.9251206598741	    3.3947	 0.5219	   -8.237	 0.860	   -5.712	 0.948	16.4423	0.0027	17.6856	0.0105	15.2840	0.0025	       	
1.973964	120.0081900497789	-35.6571979875630	    3.2067	 1.4556	    1.180	 2.000	    2.305	 2.801	20.7787	0.0101	       	      	       	      	       	
1.960148	120.0097158001805	-35.7162092522176	    2.2272	 1.1319	    0.451	 1.729	   -5.236	 2.022	20.8687	0.0114	21.8188	0.3261	19.6141	0.0819	       	
1.920632	120.0100503674248	-36.1251328664938	    3.0531	 0.2197	    3.923	 0.432	    0.733	 0.346	18.6853	0.0033	18.9477	0.1147	17.0772	0.0281	       	
1.920637	120.0100553994166	-36.1259807384397	    3.1417	 0.0161	    3.619	 0.028	    1.143	 0.029	13.9230	0.0008	14.5047	0.0034	13.2143	0.0023	       	
1.919981	120.0136853773442	-36.0142805185530	    2.4616	 0.0239	  -27.118	 0.038	   28.747	 0.042	15.0779	0.0005	15.9583	0.0033	14.1283	0.0035	       	
1.926734	120.0145873992173	-35.9138913020881	    2.6640	 0.0223	  -33.610	 0.035	   25.085	 0.044	14.7064	0.0003	15.3791	0.0020	13.9269	0.0008	       	
1.916814	120.0147402965421	-36.0936950828386	    2.5861	 0.1544	    0.755	 0.278	  -34.086	 0.302	17.7905	0.0020	19.2926	0.0228	16.5106	0.0037	       	
1.917386	120.0147621532176	-36.0575630537135	    3.7111	 1.7718	    0.527	 3.136	   -0.467	 4.185	20.9587	0.0174	21.6611	0.5854	19.2116	0.0664	       	
1.979355	120.0150700981107	-35.6119641939111	    2.6681	 1.1221	   -1.974	 1.426	    4.553	 1.913	20.7692	0.0107	21.3713	0.2574	19.7067	0.0940	       	
1.935269	120.0157113335366	-36.3791842746987	    2.6257	 0.1607	   -7.714	 0.247	   14.124	 0.254	18.4460	0.0021	20.2324	0.0702	17.2063	0.0107	       	
1.933433	120.0158676692762	-35.8467101347244	    2.2308	 0.9013	    0.490	 1.195	    7.415	 1.509	20.5801	0.0084	21.5672	0.2293	19.2499	0.0533	       	
1.952159	120.0188100866594	-36.4935197637974	    2.5193	 0.6401	    1.586	 0.914	    3.021	 0.942	18.8907	0.0066	19.7949	0.0369	17.7757	0.0102	       	
1.937118	120.0190634894193	-35.8037656956278	    2.3294	 1.1131	   -0.693	 1.396	    3.085	 2.459	20.7477	0.0103	20.9987	0.3773	19.4884	0.0703	       	
1.945991	120.0191361457367	-36.4624501870543	    2.3751	 1.9189	    0.142	 2.726	    5.021	 2.588	20.9820	0.0174	21.5414	0.4185	20.0188	0.1193	       	
1.976464	120.0192128802357	-36.6029740038328	    2.4027	 0.0553	    2.104	 0.084	  -25.330	 0.084	16.3977	0.0007	17.3368	0.0080	15.4374	0.0025	       	
1.916966	120.0196467435362	-35.9804217589829	    2.1089	 0.3950	    0.889	 0.603	  -12.859	 0.673	19.4560	0.0039	20.8045	0.1209	18.0010	0.0346	       	
1.997038	120.0204482253084	-36.6828249369636	    2.6038	 0.9930	   -5.643	 1.400	   14.592	 2.748	20.1305	0.0127	20.3816	0.1085	18.6570	0.0510	       	
1.983622	120.0212021040781	-36.6365701000348	    2.2157	 0.0193	   -9.457	 0.030	   19.593	 0.031	13.9214	0.0005	14.4092	0.0020	13.2962	0.0012	       	
